,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
73,JUVENTUS,PALERMO,2-0,1-0,4.1,7.1,5.7,66,34,9,5,20,6,6,19,86,15,11,8,2,0,0,3,1,6,2,1,22,73,17,33,10,1,0,0,2,0,0,2,2014
74,UDINESE,ATALANTA,2-0,2-0,4.3,6.8,5.8,39,61,9,4,15,2,5,21,72,26,36,16,2,0,0,7,3,14,4,7,23,83,16,15,15,1,0,0,2,0,0,2,2014
75,CHIEVO,GENOA,01-Feb,1-0,6,5.7,6.3,37,63,6,5,14,3,4,31,71,16,22,23,3,1,0,2,4,14,8,7,16,81,19,41,22,3,0,0,1,2,2,1,2014
76,NAPOLI,HELLAS,06-Feb,01-Jan,9.8,8.8,4.1,69,31,7,16,27,4,14,17,91,14,20,11,1,0,0,1,6,8,1,3,9,76,14,49,7,1,0,0,6,2,2,6,2014
77,LAZIO,TORINO,02-Jan,1-0,6.2,7.3,6.1,51,49,3,7,12,2,3,16,81,14,23,13,2,0,0,7,4,15,4,6,21,82,12,18,9,1,0,0,2,1,1,2,2014
78,CESENA,INTER,0-1,0-1,3.4,4.8,6.7,32,68,6,2,8,0,2,32,67,21,15,20,5,0,1,8,6,18,4,3,14,87,31,28,15,1,0,0,0,1,1,0,2014
79,MILAN,FIORENTINA,01-Jan,1-0,4.1,6.4,6.7,48,52,7,2,15,6,5,21,79,17,23,13,2,0,0,6,2,12,4,4,18,82,11,25,13,2,0,0,1,1,1,1,2014
80,SASSUOLO,EMPOLI,03-Jan,0-1,7.4,6.4,5.5,47,53,11,6,23,6,6,27,77,14,27,9,2,0,0,9,6,16,1,3,16,80,20,34,12,3,0,0,3,1,1,3,2014
81,FIORENTINA,UDINESE,3-0,1-0,5.9,8,4.6,60,40,8,9,27,10,4,17,86,12,19,15,2,0,0,3,1,5,1,2,19,75,17,25,14,3,0,0,3,0,0,3,2014
82,ROMA,CESENA,2-0,1-0,4,6.9,5.5,73,27,5,6,16,5,7,16,92,11,26,11,1,0,0,3,1,4,0,3,20,68,13,15,13,0,0,0,2,0,0,2,2014
83,ATALANTA,NAPOLI,01-Jan,0-0,5.5,5.4,6.3,25,75,3,2,7,2,4,13,64,14,28,18,4,1,0,10,6,18,2,5,29,86,27,19,12,2,0,0,1,1,1,1,2014
84,CAGLIARI,MILAN,01-Jan,01-Jan,4.8,6.6,6.5,49,51,6,5,15,4,6,22,79,17,33,13,3,0,0,5,3,13,5,4,14,81,13,30,13,2,0,0,1,1,1,1,2014
85,TORINO,PARMA,1-0,1-0,4,6.8,5.4,50,50,7,4,15,4,4,28,84,20,19,11,1,0,0,8,2,10,0,7,25,79,13,18,17,3,0,1,1,0,0,1,2014
86,PALERMO,CHIEVO,1-0,0-0,3.9,6.8,6.1,53,47,9,6,16,1,4,32,76,27,39,15,2,0,0,7,3,15,5,3,23,68,29,23,17,1,0,0,1,0,0,1,2014
87,GENOA,JUVENTUS,1-0,0-0,4.2,6.6,6,44,56,1,3,4,0,1,25,66,14,49,22,2,0,0,9,4,16,3,13,32,72,28,25,18,4,0,0,1,0,0,1,2014
